geo,sex,vintage,start_year,end_year,age_at_start,age_at_end,start_pop,end_pop,net_migration,net_pct_of_start
NYC,female,v2020,2012,2017,15-19,20-24,251138,292561,41423,16.5
NYC,female,v2020,2013,2018,15-19,20-24,244379,282919,38540,15.8
NYC,female,v2020,2014,2019,15-19,20-24,238300,275011,36711,15.4
NYC,female,v2020,2015,2020,15-19,20-24,232664,268387,35723,15.4
NYC,female,v2025,2020,2025,15-19,20-24,246631,284059,37428,15.2
NYC,female,v2020,2010,2015,20-24,25-29,329617,404231,74614,22.6
NYC,female,v2020,2011,2016,20-24,25-29,329152,408315,79163,24.1
NYC,female,v2020,2012,2017,20-24,25-29,329839,410310,80471,24.4
NYC,female,v2020,2013,2018,20-24,25-29,326970,405868,78898,24.1
NYC,female,v2020,2014,2019,20-24,25-29,320759,398040,77281,24.1
NYC,female,v2020,2015,2020,20-24,25-29,314498,389405,74907,23.8
NYC,female,v2025,2020,2025,20-24,25-29,317989,410829,92840,29.2
NYC,female,v2020,2010,2015,25-29,30-34,382139,366367,-15772,-4.1
NYC,female,v2020,2011,2016,25-29,30-34,382847,366949,-15898,-4.2
NYC,female,v2020,2012,2017,25-29,30-34,389880,368484,-21396,-5.5
NYC,female,v2020,2013,2018,25-29,30-34,394992,366979,-28013,-7.1
NYC,female,v2020,2014,2019,25-29,30-34,399358,367149,-32209,-8.1
NYC,female,v2020,2015,2020,25-29,30-34,404231,367854,-36377,-9.0
NYC,female,v2025,2020,2025,25-29,30-34,407964,380211,-27753,-6.8
NYC,male,v2020,2010,2015,15-19,20-24,271808,299743,27935,10.3
NYC,male,v2020,2011,2016,15-19,20-24,268720,287886,19166,7.1
NYC,male,v2020,2012,2017,15-19,20-24,257493,275960,18467,7.2
NYC,male,v2020,2013,2018,15-19,20-24,249016,265640,16624,6.7
NYC,male,v2020,2014,2019,15-19,20-24,241623,256164,14541,6.0
NYC,male,v2020,2015,2020,15-19,20-24,235269,248095,12826,5.5
NYC,male,v2025,2020,2025,15-19,20-24,252030,270252,18222,7.2
NYC,male,v2020,2010,2015,20-24,25-29,312965,375494,62529,20.0
NYC,male,v2020,2011,2016,20-24,25-29,313031,381959,68928,22.0
NYC,male,v2020,2012,2017,20-24,25-29,315025,385407,70382,22.3
NYC,male,v2020,2013,2018,20-24,25-29,314088,382456,68368,21.8
NYC,male,v2020,2014,2019,20-24,25-29,307820,376737,68917,22.4
NYC,male,v2020,2015,2020,20-24,25-29,299743,367753,68010,22.7
NYC,male,v2025,2020,2025,20-24,25-29,297543,372152,74609,25.1
NYC,male,v2020,2010,2015,25-29,30-34,348044,346193,-1851,-0.5
NYC,male,v2020,2011,2016,25-29,30-34,348938,348665,-273,-0.1
NYC,male,v2020,2012,2017,25-29,30-34,356399,352835,-3564,-1.0
NYC,male,v2020,2013,2018,25-29,30-34,362130,353758,-8372,-2.3
NYC,male,v2020,2014,2019,25-29,30-34,367927,355874,-12053,-3.3
NYC,male,v2020,2015,2020,25-29,30-34,375494,359976,-15518,-4.1
NYC,male,v2025,2020,2025,25-29,30-34,374664,365947,-8717,-2.3
Queens,all,v2020,2010,2015,15-19,20-24,139081,154759,15678,11.3
Queens,all,v2020,2011,2016,15-19,20-24,137445,147561,10116,7.4
Queens,all,v2020,2012,2017,15-19,20-24,131621,140679,9058,6.9
Queens,all,v2020,2013,2018,15-19,20-24,127531,134887,7356,5.8
Queens,all,v2020,2014,2019,15-19,20-24,124376,129685,5309,4.3
Queens,all,v2020,2015,2020,15-19,20-24,121167,125400,4233,3.5
Queens,all,v2025,2020,2025,15-19,20-24,131560,141328,9768,7.4
Queens,all,v2020,2010,2015,20-24,25-29,160858,190515,29657,18.4
Queens,all,v2020,2011,2016,20-24,25-29,160968,193234,32266,20.0
Queens,all,v2020,2012,2017,20-24,25-29,163049,194385,31336,19.2
Queens,all,v2020,2013,2018,20-24,25-29,162313,191993,29680,18.3
Queens,all,v2020,2014,2019,20-24,25-29,159020,186408,27388,17.2
Queens,all,v2020,2015,2020,20-24,25-29,154759,180321,25562,16.5
Queens,all,v2025,2020,2025,20-24,25-29,153030,187908,34878,22.8
Queens,all,v2020,2010,2015,25-29,30-34,184906,183578,-1328,-0.7
Queens,all,v2020,2011,2016,25-29,30-34,184693,182729,-1964,-1.1
Queens,all,v2020,2012,2017,25-29,30-34,185645,182623,-3022,-1.6
Queens,all,v2020,2013,2018,25-29,30-34,185876,181101,-4775,-2.6
Queens,all,v2020,2014,2019,25-29,30-34,187130,179591,-7539,-4.0
Queens,all,v2020,2015,2020,25-29,30-34,190515,179973,-10542,-5.5
Queens,all,v2025,2020,2025,25-29,30-34,188680,190039,1359,0.7
Queens,female,v2020,2010,2015,15-19,20-24,67249,77565,10316,15.3
Queens,female,v2020,2011,2016,15-19,20-24,66498,74252,7754,11.7
Queens,female,v2020,2012,2017,15-19,20-24,63848,71136,7288,11.4
Queens,female,v2020,2013,2018,15-19,20-24,62273,68484,6211,10.0
Queens,female,v2020,2014,2019,15-19,20-24,60951,65789,4838,7.9
Queens,female,v2020,2015,2020,15-19,20-24,59369,63705,4336,7.3
Queens,female,v2025,2020,2025,15-19,20-24,63543,70746,7203,11.3
Queens,female,v2020,2010,2015,20-24,25-29,78990,95449,16459,20.8
Queens,female,v2020,2011,2016,20-24,25-29,79097,97131,18034,22.8
Queens,female,v2020,2012,2017,20-24,25-29,80745,97833,17088,21.2
Queens,female,v2020,2013,2018,20-24,25-29,80461,96666,16205,20.1
Queens,female,v2020,2014,2019,20-24,25-29,79219,93720,14501,18.3
Queens,female,v2020,2015,2020,20-24,25-29,77565,90860,13295,17.1
